iter	Passed	Remaining
474	11547	231563
475	11570	231512
476	11595	231498
477	11619	231457
478	11641	231404
479	11663	231331
480	11689	231338
481	11713	231303
482	11736	231255
483	11759	231207
484	11784	231187
485	11808	231157
486	11831	231123
487	11855	231075
488	11886	231192
489	11912	231190
490	11935	231149
491	11959	231128
492	11983	231098
493	12007	231062
494	12035	231114
495	12058	231055
496	12081	231012
497	12107	231006
498	12130	230967
499	12153	230918
500	12176	230866
501	12202	230883
502	12227	230870
503	12271	231216
504	12296	231204
505	12322	231200
506	12341	231089
507	12379	231306
508	12405	231312
509	12429	231276
510	12452	231233
511	12475	231184
512	12498	231130
513	12522	231100
514	12545	231054
515	12569	231017
516	12595	231032
517	12618	230974
518	12641	230930
519	12664	230892
520	12689	230867
521	12713	230837
522	12737	230804
523	12760	230756
524	12784	230722
525	12807	230672
526	12830	230631
527	12853	230582
528	12868	230387
529	12891	230346
530	12915	230306
531	12939	230287
532	12961	230218
533	12985	230182
534	13009	230161
535	13033	230126
536	13055	230069
537	13079	230039
538	13103	230002
539	13127	229969
540	13149	229911
541	13171	229846
542	13201	229918
543	13227	229919
544	13249	229865
545	13272	229816
546	13295	229769
547	13319	229730
548	13340	229650
549	13364	229623
550	13387	229587
551	13411	229554
552	13434	229505
553	13459	229485
554	13483	229465
555	13496	229243
556	13519	229194
557	13539	229097
558	13564	229089
559	13606	229370
560	13630	229343
561	13654	229307
562	13669	229119
563	13692	229074
564	13716	229049
565	13741	229038
566	13767	229042
567	13793	229045
568	13817	229018
569	13842	229008
570	13866	228976
571	13891	228959
572	13915	228936
573	13938	228890
574	13963	228885
575	13985	228812
576	14008	228777
577	14031	228719
578	14041	228467
579	14066	228457
580	14089	228407
581	14114	228395
582	14148	228529
583	14171	228498
584	14195	228459
585	14219	228436
586	14242	228394
587	14266	228356
588	14288	228307
589	14314	228298
590	14343	228357
591	14371	228383
592	14392	228318
593	14417	228295
594	14444	228312
595	14470	228317
596	14495	228315
597	14526	228387
598	14551	228383
599	14601	228755
600	14627	228759
601	14654	228769
602	14680	228783
603	14726	229089
604	14752	229084
605	14804	229488
606	14828	229468
607	14854	229463
608	14911	229947
609	14937	229939
610	14962	229920
611	14986	229884
612	15018	229979
613	15043	229966
614	15063	229876
615	15087	229846
616	15113	229834
617	15137	229810
618	15163	229800
619	15201	229984
620	15225	229955
621	15248	229904
622	15272	229869
623	15293	229800
624	15317	229763
625	15327	229523
626	15354	229541
627	15381	229550
628	15404	229499
629	15427	229450
630	15452	229429
631	15474	229376
632	15499	229358
633	15513	229177
634	15535	229119
635	15562	229128
636	15589	229145
637	15613	229116
638	15638	229098
639	15661	229055
640	15684	229009
641	15708	228965
642	15746	229148
643	15773	229149
644	15797	229118
645	15821	229095
646	15844	229044
647	15867	228997
648	15890	228958
649	15904	228784
650	15929	228759
651	15951	228702
652	15977	228698
653	16010	228801
654	16058	229114
655	16088	229163
656	16112	229135
657	16138	229125
658	16165	229142
659	16192	229146
660	16215	229095
661	16239	229071
662	16263	229044
663	16286	228997
664	16310	228960
665	16335	228946
666	16365	228989
667	16399	229100
668	16422	229062
669	16447	229040
670	16471	229010
671	16495	228978
672	16520	228957
673	16546	228948
674	16569	228899
675	16605	229034
676	16629	228999
677	16647	228894
678	16671	228863
679	16695	228831
680	16719	228800
681	16745	228783
682	16768	228739
683	16793	228724
684	16818	228708
685	16842	228670
686	16865	228633
687	16889	228593
688	16912	228555
689	16937	228527
690	16960	228492
691	16987	228494
692	17010	228447
693	17020	228233
694	17035	228082
695	17059	228051
696	17083	228021
697	17108	227996
698	17142	228103
699	17168	228096
700	17194	228089
701	17220	228091
702	17249	228116
703	17275	228110
704	17302	228123
705	17327	228108
706	17351	228077
707	17379	228096
708	17403	228055
709	17427	228024
710	17451	227999
711	17475	227963
712	17499	227935
713	17522	227895
714	17546	227856
715	17572	227849
716	17595	227802
717	17619	227771
718	17642	227735
719	17678	227856
720	17697	227761
721	17722	227745
722	17747	227720
723	17771	227693
724	17794	227640
725	17818	227611
726	17843	227593
727	17868	227582
728	17893	227558
729	17919	227556
730	17944	227532
731	17983	227689
732	18008	227677
733	18033	227649
734	18056	227616
735	18080	227572
736	18103	227538
737	18128	227518
738	18154	227502
739	18197	227720
740	18221	227687
741	18247	227677
742	18272	227656
743	18295	227613
744	18321	227608
745	18349	227624
746	18374	227596
747	18397	227559
748	18422	227539
749	18447	227513
750	18470	227480
751	18496	227465
752	18522	227458
753	18545	227419
754	18572	227420
755	18597	227398
756	18621	227364
757	18649	227380
758	18673	227352
759	18696	227313
760	18720	227272
761	18742	227224
762	18767	227200
763	18789	227146
764	18811	227095
765	18833	227039
766	18858	227012
767	18881	226967
768	18903	226919
769	18925	226864
770	18947	226803
771	18972	226789
772	18996	226759
773	19015	226658
774	19040	226644
775	19062	226591
776	19087	226572
777	19111	226538
778	19137	226534
779	19160	226490
780	19185	226463
781	19208	226421
782	19232	226397
783	19255	226354
784	19277	226298
785	19298	226231
786	19323	226205
787	19348	226190
788	19374	226186
789	19398	226156
790	19421	226105
791	19443	226051
792	19465	226006
793	19489	225967
794	19511	225921
795	19532	225846
796	19554	225799
797	19580	225787
798	19650	226282
799	19675	226263
